epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.8447103462320693,0.60325,0.6294605617827558,0.7316666666666667,0.0003
2,0.6758553623519046,0.7006666666666667,0.6322456991418879,0.722,0.0003
3,0.6584719736525353,0.7101666666666666,0.6009274321667691,0.7446666666666667,0.0003
4,0.6560687143751915,0.7136666666666667,0.5952902651847677,0.747,0.0003
5,0.6432683994161322,0.7265,0.5914936490515446,0.7503333333333333,0.0003
6,0.6336228765071706,0.7264166666666667,0.5820593155444936,0.7496666666666667,0.0003
7,0.6258182103963609,0.73325,0.580303929587628,0.752,0.0003
8,0.6237005512131021,0.7393333333333333,0.5897721546761533,0.7493333333333333,0.0003
9,0.598983737699529,0.74725,0.5525191293117848,0.771,0.0003
10,0.5822737706785507,0.7590833333333333,0.550191232498656,0.765,0.0003
11,0.5754149787603541,0.759,0.5261841543177341,0.7776666666666666,0.0003
12,0.5578376160974198,0.7676666666666667,0.5361182264825131,0.7696666666666667,0.0003
13,0.5438331344977338,0.77675,0.490212342206468,0.802,0.0003
14,0.52251992184431,0.7865833333333333,0.5640884745628276,0.7553333333333333,0.0003
15,0.5070558805414971,0.7905,0.5091210692486865,0.7813333333333333,0.0003
16,0.49435887374776477,0.7998333333333333,0.45886123370616994,0.8056666666666666,0.0003
17,0.48451413578809577,0.804,0.4594629273769703,0.8023333333333333,0.0003
18,0.46900894952581285,0.8120833333333334,0.4660136547494442,0.8043333333333333,0.0003
19,0.45083306999282635,0.8175,0.4208885925881406,0.8313333333333334,0.0003
20,0.4435278383341241,0.8193333333333334,0.4001427565483337,0.837,0.0003
21,0.4364673969276408,0.8248333333333333,0.3875901661020644,0.8356666666666667,0.0003
22,0.41905326396226883,0.8319166666666666,0.37899650665039714,0.8396666666666667,0.0003
23,0.41490837226205685,0.83275,0.3661240500972626,0.8493333333333334,0.0003
24,0.4016665105331451,0.8388333333333333,0.4045448036904031,0.826,0.0003
25,0.401612011834662,0.8403333333333334,0.3555009666275471,0.854,0.0003
26,0.38904932442497697,0.8441666666666666,0.3633326228628767,0.8493333333333334,0.0003
27,0.37666386730493384,0.8485,0.48235451414230024,0.777,0.0003
28,0.3703216097931913,0.85225,0.32330808836094876,0.87,0.0003
29,0.36125404585866217,0.8558333333333333,0.31480707196479146,0.873,0.0003
30,0.3608320677217017,0.8594166666666667,0.35669194605756316,0.8486666666666667,0.0003
